url,type,title,description,bodyChars,internalLinks,canonical,robots,inSitemap,isNoindex,isProtected,ga4Likely,dupGroup,recommendation,reason
/,static,Books Discover トップページ,,0,0,https://books.kuras-plus.com/,"index,follow",true,false,true,true,,protect,トップページ。保護対象。
/discover,static,Books Discover,,0,0,https://books.kuras-plus.com/discover,"index,follow",true,false,false,true,,index,主要ページ。index維持・sitemap掲載。
/search,static,検索,,0,0,https://books.kuras-plus.com/search,"index,follow",true,false,false,false,,index,検索トップ。index維持。
/blog,static,ブログ一覧,,0,0,https://books.kuras-plus.com/blog,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools,tool,ツール一覧,,0,0,https://books.kuras-plus.com/tools,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/book-quiz,tool,おすすめ本診断,,0,0,https://books.kuras-plus.com/tools/book-quiz,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/media-originals,tool,映像から原作を探す,,0,0,https://books.kuras-plus.com/tools/media-originals,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/trend-books,tool,テーマから本を探す,,0,0,https://books.kuras-plus.com/tools/trend-books,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/similar-books,tool,類似本検索,,0,0,https://books.kuras-plus.com/tools/similar-books,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/reading-time,tool,読書時間計算,,0,0,https://books.kuras-plus.com/tools/reading-time,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/reading-order,tool,読む順番ガイド,,0,0,https://books.kuras-plus.com/tools/reading-order,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/literary-awards,tool,文学賞一覧,,0,0,https://books.kuras-plus.com/tools/literary-awards,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/reading-order/higashino-keigo-galileo,reading-order,ガリレオシリーズ 読む順番,,0,0,https://books.kuras-plus.com/tools/reading-order/higashino-keigo-galileo,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/reading-order/higashino-keigo-kaga,reading-order,加賀恭一郎シリーズ 読む順番,,0,0,https://books.kuras-plus.com/tools/reading-order/higashino-keigo-kaga,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/reading-order/higashino-keigo-masquerade,reading-order,マスカレードシリーズ 読む順番,,0,0,https://books.kuras-plus.com/tools/reading-order/higashino-keigo-masquerade,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/reading-order/miyabe-miyuki-sugimura,reading-order,杉村三郎シリーズ 読む順番,,0,0,https://books.kuras-plus.com/tools/reading-order/miyabe-miyuki-sugimura,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/reading-order/ikeido-jun-hanzawa,reading-order,半沢直樹シリーズ 読む順番,,0,0,https://books.kuras-plus.com/tools/reading-order/ikeido-jun-hanzawa,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/reading-order/isaka-kotaro-assassin,reading-order,殺し屋シリーズ 読む順番,,0,0,https://books.kuras-plus.com/tools/reading-order/isaka-kotaro-assassin,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/reading-order/arikawa-hiro-jsdf,reading-order,自衛隊三部作 読む順番,,0,0,https://books.kuras-plus.com/tools/reading-order/arikawa-hiro-jsdf,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/reading-order/murakami-haruki-novels,reading-order,村上春樹 長編小説 読む順番,,0,0,https://books.kuras-plus.com/tools/reading-order/murakami-haruki-novels,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/reading-order/morimi-tomihiko-works,reading-order,森見登美彦 主要作品 読む順番,,0,0,https://books.kuras-plus.com/tools/reading-order/morimi-tomihiko-works,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/reading-order/yonezawa-honobu-kotenbu,reading-order,古典部シリーズ 読む順番,,0,0,https://books.kuras-plus.com/tools/reading-order/yonezawa-honobu-kotenbu,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/reading-order/tsujimura-mizuki-works,reading-order,辻村深月 主要作品 読む順番,,0,0,https://books.kuras-plus.com/tools/reading-order/tsujimura-mizuki-works,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
/tools/reading-order/minato-kanae-works,reading-order,湊かなえ 主要作品 読む順番,,0,0,https://books.kuras-plus.com/tools/reading-order/minato-kanae-works,"index,follow",true,false,false,false,,index,主要ページ。index維持・sitemap掲載。
